105.ORGO,ORGO,105
105.TRNR,TRNR,105
105.SWAGW,SWAGW,105
105.ATMVR,ATMVR,105
105.RHLD,RHLD,105
105.PETWW,PETWW,105
105.GGROW,GGROW,105
105.AIMDW,AIMDW,105
105.CEROW,CEROW,105
105.PMAX,PMAX,105
106.OMI,OMI,106
105.AERTW,AERTW,105
105.ARBB,ARBB,105
106.TPC,TPC,106
105.HUBC,HUBC,105
105.GCLWW,GCLWW,105
105.ENVB,ENVB,105
105.VMCAW,VMCAW,105
105.CAMP,CAMP,105
105.GRRRW,GRRRW,105
105.PEPG,PEPG,105
105.BFRIW,BFRIW,105
105.SYTAW,SYTAW,105
105.SATLW,SATLW,105
105.PCTTW,PCTTW,105
106.SES_WS,SES_WS,106
105.ACON,ACON,105
105.WLACW,WLACW,105
105.RDZN,RDZN,105
106.OCFT,OCFT,106
106.EVEX_WS,EVEX_WS,106
105.RSVRW,RSVRW,105
105.BTAI,BTAI,105
105.XCUR,XCUR,105
105.FSHPR,FSHPR,105
105.NEOV,NEOV,105
105.RITR,RITR,105
105.KLXE,KLXE,105
105.GRRR,GRRR,105
105.ESGL,ESGL,105
105.OXBRW,OXBRW,105
107.DDC,DDC,107
105.GCL,GCL,105
106.ARLO,ARLO,106
105.WINVW,WINVW,105
105.HRTX,HRTX,105
105.EXFY,EXFY,105
106.PRGO,PRGO,106
105.HSPOR,HSPOR,105
105.MNTSW,MNTSW,105
106.PNST,PNST,106
105.AUUDW,AUUDW,105
105.PBYI,PBYI,105
105.LNSR,LNSR,105
105.DHAI,DHAI,105
105.SHMDW,SHMDW,105
105.MSW,MSW,105
105.NVAX,NVAX,105
105.HOVRW,HOVRW,105
107.AMBI_WS,AMBI_WS,107
105.FOXXW,FOXXW,105
105.QVCGB,QVCGB,105
105.ESHAR,ESHAR,105
105.SOUN,SOUN,105
105.QMMM,QMMM,105
105.ENLV,ENLV,105
105.ALHC,ALHC,105
105.RMNI,RMNI,105
107.CTM,CTM,107
105.WULF,WULF,105
105.MNPR,MNPR,105
105.DAVEW,DAVEW,105
105.SLGL,SLGL,105
107.IBIO,IBIO,107
105.RGTIW,RGTIW,105
105.RAVE,RAVE,105
105.IBRX,IBRX,105
105.BTOC,BTOC,105
106.ESTC,ESTC,106
105.ILLR,ILLR,105
105.OUSTW,OUSTW,105
105.NXLIW,NXLIW,105
107.RIOX,RIOX,107
105.CYN,CYN,105
105.RILYZ,RILYZ,105
105.SCKT,SCKT,105
106.BALY,BALY,106
106.AACT_WS,AACT_WS,106
106.ACHR_WS,ACHR_WS,106
105.TLSA,TLSA,105
105.ANIP,ANIP,105
105.BNZI,BNZI,105
105.CMPOW,CMPOW,105
105.ZURA,ZURA,105
105.MCTR,MCTR,105
105.NEXT,NEXT,105
105.XBIT,XBIT,105
106.PAR,PAR,106
105.BTDR,BTDR,105
105.RILYT,RILYT,105
105.LZMH,LZMH,105
105.EOSEW,EOSEW,105
105.RVSN,RVSN,105
105.ATOM,ATOM,105
105.LBGJ,LBGJ,105
106.GB_WS,GB_WS,106
105.AREC,AREC,105
106.CHGG,CHGG,106
105.MSTX,MSTX,105
105.IMMX,IMMX,105
105.NVVE,NVVE,105
105.GIFT,GIFT,105
107.MSTU,MSTU,107
106.ACHR,ACHR,106
105.GANX,GANX,105
105.SMMT,SMMT,105
105.GLE,GLE,105
105.PCT,PCT,105
106.AES,AES,106
105.GCMGW,GCMGW,105
105.SEPN,SEPN,105
105.NUKK,NUKK,105
105.BNTC,BNTC,105
106.ADCT,ADCT,106
105.LIF,LIF,105
105.ARTV,ARTV,105
105.OSUR,OSUR,105
105.NIVFW,NIVFW,105
105.NAUT,NAUT,105
106.BLX,BLX,106
105.STTK,STTK,105
106.SRI,SRI,106
105.CMRX,CMRX,105
105.AVTX,AVTX,105
105.OTLY,OTLY,105
105.MFI,MFI,105
105.BJDX,BJDX,105
105.MBAVW,MBAVW,105
105.PYPD,PYPD,105
105.SVRE,SVRE,105
105.CLWT,CLWT,105
106.BHR,BHR,106
105.MESO,MESO,105
105.TARA,TARA,105
105.DOGZ,DOGZ,105
105.RDZNW,RDZNW,105
106.RCUS,RCUS,106
105.MOBBW,MOBBW,105
105.VRCA,VRCA,105
105.IMNN,IMNN,105
105.PITAW,PITAW,105
105.SCWO,SCWO,105
105.DTCK,DTCK,105
105.DRUG,DRUG,105
105.SKBL,SKBL,105
106.CARS,CARS,106
105.ICUCW,ICUCW,105
105.NWTNW,NWTNW,105
105.CCLDP,CCLDP,105
106.NNI,NNI,106
105.CNTX,CNTX,105
105.BLMZ,BLMZ,105
105.OKYO,OKYO,105
105.MYPSW,MYPSW,105
105.LMFA,LMFA,105
106.ZVIA,ZVIA,106
105.SDSTW,SDSTW,105
105.IONR,IONR,105
105.STAK,STAK,105
107.FLYX,FLYX,107
105.SPHL,SPHL,105
105.PTCT,PTCT,105
105.YOSH,YOSH,105
105.LVROW,LVROW,105
105.CYCU,CYCU,105
105.RILYP,RILYP,105
105.CIFRW,CIFRW,105
105.AIFU,AIFU,105
106.RKT,RKT,106
105.CUBWW,CUBWW,105
106.HIMS,HIMS,106
105.ROOT,ROOT,105
105.DRTS,DRTS,105
105.IAS,IAS,105
105.VTYX,VTYX,105
106.EFC,EFC,106
105.OCX,OCX,105
105.QURE,QURE,105
105.SMTC,SMTC,105
107.SACH_A,SACH_A,107
105.TAVIU,TAVIU,105
106.PL_WS,PL_WS,106
106.CLBR_WS,CLBR_WS,106
107.SCPX,SCPX,107
105.FOXF,FOXF,105
106.CODI,CODI,106
105.STI,STI,105
105.OTLK,OTLK,105
105.TPIC,TPIC,105
105.CISO,CISO,105
105.LTBR,LTBR,105
105.MCW,MCW,105
105.VFSWW,VFSWW,105
105.SLNO,SLNO,105
105.BDMD,BDMD,105
107.SSY,SSY,107
105.FBYD,FBYD,105
105.IINN,IINN,105
105.GBIO,GBIO,105
106.VG,VG,106
105.AGRI,AGRI,105
105.DHAIW,DHAIW,105
105.LSEA,LSEA,105
106.CDLR,CDLR,106
105.PHLT,PHLT,105
105.SOUNW,SOUNW,105
106.GRDN,GRDN,106
105.RETO,RETO,105
105.ESOA,ESOA,105
105.MASS,MASS,105
105.RILYL,RILYL,105
105.SWTX,SWTX,105
105.WGSWW,WGSWW,105
105.SHOT,SHOT,105
105.DRVN,DRVN,105
105.SRRK,SRRK,105
105.LRE,LRE,105
105.HNST,HNST,105
106.AUNA,AUNA,106
105.TSLL,TSLL,105
105.TSLG,TSLG,105
105.BTM,BTM,105
105.RAY,RAY,105
105.TSLR,TSLR,105
105.STFS,STFS,105
105.GSUN,GSUN,105
105.SATL,SATL,105
107.TSLT,TSLT,107
105.CRNX,CRNX,105
105.COGT,COGT,105
105.NVDL,NVDL,105
105.PAVMZ,PAVMZ,105
105.IPW,IPW,105
105.NITO,NITO,105
105.BCAX,BCAX,105
105.NVDU,NVDU,105
106.TWI,TWI,106
105.VITL,VITL,105
105.HVIIR,HVIIR,105
105.ICU,ICU,105
105.PSTV,PSTV,105
107.MITQ,MITQ,107
107.NVDX,NVDX,107
105.EOSE,EOSE,105
105.BLUE,BLUE,105
105.DRTSW,DRTSW,105
105.PAVS,PAVS,105
105.CBUS,CBUS,105
107.YANG,YANG,107
105.ESLA,ESLA,105
107.XTNT,XTNT,107
105.SYRE,SYRE,105
105.CORZW,CORZW,105
105.BTBD,BTBD,105
105.FPAY,FPAY,105
105.RIOT,RIOT,105
105.NWGL,NWGL,105
105.CDT,CDT,105
105.ABLLW,ABLLW,105
105.JAGX,JAGX,105
107.DZZ,DZZ,107
107.GENC,GENC,107
105.ADVM,ADVM,105
105.YYAI,YYAI,105
105.MIMI,MIMI,105
105.CAPR,CAPR,105
105.ARQT,ARQT,105
106.PBA,PBA,106
105.INBS,INBS,105
105.XFOR,XFOR,105
105.HOWL,HOWL,105
105.TXMD,TXMD,105
105.GUTS,GUTS,105
105.VTVT,VTVT,105
105.RDVT,RDVT,105
105.ELPW,ELPW,105
105.BPMC,BPMC,105
105.OCGN,OCGN,105
107.SLND,SLND,107
105.INDP,INDP,105
105.CONL,CONL,105
106.YEXT,YEXT,106
105.OPK,OPK,105
106.SMC,SMC,106
105.NVDG,NVDG,105
106.LOAR,LOAR,106
105.STEC,STEC,105
105.KRKR,KRKR,105
107.OGEN,OGEN,107
106.BRCC,BRCC,106
106.LB,LB,106
106.DHX,DHX,106
105.GMGI,GMGI,105
105.KALV,KALV,105
105.SGMO,SGMO,105
105.LNZA,LNZA,105
105.WALD,WALD,105
105.LASE,LASE,105
105.FULC,FULC,105
105.TUSK,TUSK,105
107.IE,IE,107
107.CATX,CATX,107
106.MOD,MOD,106
105.ALKT,ALKT,105
106.NRP,NRP,106
105.BITF,BITF,105
105.MSTR,MSTR,105
105.APVO,APVO,105
105.CLSK,CLSK,105
105.HCAT,HCAT,105
105.SKYE,SKYE,105
105.ERNA,ERNA,105
105.DRDBW,DRDBW,105
105.WRAP,WRAP,105
105.VTGN,VTGN,105
